Component,Quantity,DigiKey Number,Manufacture Number,Price 
USB to UART,1,768-1008-1-ND,FT232RQ-REEL,4.5
Regulator,1,LM1117IMPX-5.0/NOPBCT-ND,LM1117IMPX-5.0/NOPB,1.14
Microprocessor,1,ATMEGA328P-AU-ND,ATMEGA328P-AU,2.11
16MHz,1,887-1904-1-ND,7M-16.000MAAE-T,0.73
Rectifier,1,SS1P3L-M3/84AGICT-ND,SS1P3L-M3/84A,0.43
Fuse,1,MF-FSMF050X-2CT-ND,MF-FSMF050X-2,0.44
Button,1,SW1020CT-ND,B3U-1000P,1
1x8 Header,2,S7006-ND,,0.65
1x6 Header,1,S7004-ND,,0.52
1x3 header,1,S7001-ND,,0.42
2x3 header,1,S7071-ND,,0.61
10uF Cap,2,,,
100 nF Cap,4,,,
1uF Cap,2,,,
1K Resistor,6,,,
LEDs,4,,,
